Page,URL,Description
41,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:41&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 40 Rubber and articles thereof
42,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:42&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 41 Raw hides and skins (other than furskins) and leather
43,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:43&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 42 Articles of leather, animal gut, harness, travel good"
44,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:44&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 43 Furskins and artificial fur, manufactures thereof"
45,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:45&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 44 Wood and articles of wood, wood charcoal"
46,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:46&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 45 Cork and articles of cork
47,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:47&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 46 Manufactures of plaiting material, basketwork, etc."
48,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:48&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 47 Pulp of wood, fibrous cellulosic material, waste etc"
49,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:49&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 48 Paper & paperboard, articles of pulp, paper and board"
50,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:50&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 49 Printed books, newspapers, pictures etc"
51,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:51&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 50 Silk
52,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:52&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 51 Wool, animal hair, horsehair yarn and fabric thereof"
53,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:53&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 52 Cotton
54,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:54&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 53 Vegetable textile fibres nes, paper yarn, woven fabri"
55,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:55&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 54 manmade filaments
56,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:56&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 55 manmade staple fibres
57,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:57&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 56 Wadding, felt, nonwovens, yarns, twine, cordage, etc"
58,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:58&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 57 Carpets and other textile floor coverings
59,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:59&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 58 Special woven or tufted fabric, lace, tapestry etc"
60,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:60&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 59 Impregnated, coated or laminated textile fabric"
61,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:61&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 60 Knitted or crocheted fabric
62,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:62&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 61 Articles of apparel, accessories, knit or crochet"
63,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:63&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 62 Articles of apparel, accessories, not knit or crochet"
64,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:64&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 63 Other made textile articles, sets, worn clothing etc"
65,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:65&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 64 Footwear, gaiters and the like, parts thereof"
66,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:66&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 65 Headgear and parts thereof
67,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:67&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 66 Umbrellas, walking-sticks, seat-sticks, whips, etc"
68,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:68&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 67 Bird skin, feathers, artificial flowers, human hair"
69,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:69&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 68 Stone, plaster, cement, asbestos, mica, etc articles"
70,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:70&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 69 Ceramic products
71,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:71&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 70 Glass and glassware
72,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:72&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 71 Pearls, precious stones, metals, coins, etc"
73,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:73&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 72 Iron and steel
74,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:74&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 73 Articles of iron or steel
75,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:75&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 74 Copper and articles thereof
76,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:76&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 75 Nickel and articles thereof
77,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:77&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 76 Aluminium and articles thereof
78,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:78&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 78 Lead and articles thereof
79,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:79&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 79 Zinc and articles thereof
80,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:80&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 80 Tin and articles thereof
81,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:81&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 81 Other base metals, cermets, articles thereof"
